sourceID,Gmag,RA2000,DEC2000
6359762966604077696,17.641,293.40416666666664,-81.57166666666667
6361119312980980736,17.897,287.525,-79.60666666666667
6347527120173761152,18.187,301.4458333333333,-82.36083333333333
6367912752949133568,18.189,296.1041666666667,-73.5663888888889
6351027209282179584,17.781,348.22499999999997,-81.08777777777777
6361055579961734016,18.213,284.60833333333335,-80.34361111111112
6360646458556949504,18.213,279.875,-80.81972222222223
6414991366949015424,18.97,285.04583333333335,-74.14027777777778
6360172843923087744,18.212,293.18333333333334,-80.20222222222222
6368001950829484544,18.14,299.74583333333334,-73.29027777777777
6348128003277870976,17.447,308.75416666666666,-83.04888888888888
6348206961956838656,18.228,308.11249999999995,-82.51083333333335
6348178649532215168,17.809,308.79583333333335,-82.85222222222222
6348188991813530752,18.291,308.6541666666667,-82.74472222222222
6348136417118376320,18.899,309.75416666666666,-82.89361111111111
6359853229636655744,18.461,298.03333333333336,-81.03833333333333
4614803791024100224,17.464,74.11666666666666,-84.48611111111111
4614626215600513792,17.428,80.64583333333333,-84.56972222222223
6347962591200980224,17.486,314.84999999999997,-82.8075
6351413172223227392,18.533,340.53749999999997,-81.50972222222222
4614399926659143552,18.156,74.3125,-85.10527777777777
4614786095758874496,18.749,76.67916666666666,-84.67861111111111
4614792143072826112,17.594,76.79583333333333,-84.64055555555555
4614430506826409472,18.771,69.06666666666666,-85.21166666666667
4614440539869942912,17.223,69.27083333333334,-84.96388888888889
4614801523281371904,18.298,73.97916666666669,-84.58444444444444
4616972749508861568,17.298,37.67500000000002,-84.29972222222223
4614801523281371904,18.298,73.97916666666669,-84.58444444444444
4614803791024100224,17.464,74.11666666666666,-84.48611111111111
4614842097835533184,18.204,74.09583333333335,-84.07722222222222
4614430506826409472,18.771,69.06666666666666,-85.21166666666667
4614440539869942912,17.223,69.27083333333334,-84.96388888888889
4615132270122823552,17.933,60.133333333333326,-84.64777777777778
4621377358729545088,18.461,84.99583333333334,-81.53
6345183167541259648,18.188,337.8458333333333,-82.7875
6345178181083426944,17.651,338.1333333333333,-82.89611111111111
6345161692704706688,18.06,340.58750000000003,-83.03194444444445
6344430173875047040,18.039,342.6083333333333,-83.11138888888888
4615250227104604800,17.755,66.47083333333333,-84.20833333333333
6346423481081191040,17.765,297.1125,-84.62472222222222
6342933665533895808,18.075,327.4458333333333,-85.90722222222222
6345398495726057088,17.766,328.55,-82.55027777777778
4629904105762860032,18.851,15.629166666666666,-82.6138888888889
4615812554286977280,18.081,70.96666666666667,-82.80222222222223
4614399926659143552,18.156,74.3125,-85.10527777777777
4614792143072826112,17.594,76.79583333333333,-84.64055555555555
6350443677845225856,17.636,345.22083333333336,-82.57444444444444
6350502566140341760,18.709,349.56666666666666,-82.51527777777778
4615132270122823552,17.933,60.133333333333326,-84.64777777777778
4617113895017310336,17.499,26.98333333333333,-84.25583333333333
6348558320345997440,17.501,326.2333333333333,-81.44638888888889
4617113895017310336,17.499,26.98333333333333,-84.25583333333333
4616972749508861568,17.298,37.67500000000002,-84.29972222222223
4615948103454388480,17.492,60.50416666666666,-82.90305555555555
6345334762707088512,18.928,332.05833333333334,-82.81583333333333
6348008564530896768,18.277,323.2791666666667,-82.81833333333333
4615948103454388480,17.492,60.50416666666666,-82.90305555555555
4615941716839404800,16.975,59.09166666666666,-82.79805555555555
4630021031952040064,18.338,6.591666666666666,-82.82388888888889
2621073615668045824,17.944,331.9875,-5.097500000000002
2606747971294886400,18.749,343.78749999999997,-9.945833333333333
2622836197232267648,18.233,338.0541666666667,-6.478055555555557
2627910688207002112,17.867,337.6958333333334,-4.095555555555555
2533226244381309440,19.029,16.42083333333333,-0.553888888888889
2680484931906216576,18.455,331.1875,0.5283333333333333
2533843203548158848,18.549,21.05,-1.0138888888888888
2349552547787827456,18.318,11.775,-22.080000000000002
5046637047256088320,18.843,46.78333333333333,-37.40138888888889
2601407505880573696,18.813,339.0541666666667,-12.893888888888892
2601835941752991872,18.281,338.6375,-11.790277777777781
2680349107859540096,18.501,331.18333333333334,-0.44388888888888883
2421099800928223232,18.599,359.2458333333333,-12.849444444444451
2678285084016522112,18.097,335.9208333333333,0.027222222222222214
2558431960037099264,18.786,21.762500000000006,1.2366666666666668
4703768674144797824,19.224,7.866666666666669,-68.12055555555555
4710253357503073920,18.812,16.795833333333338,-62.61333333333334
2533843203548158848,18.549,21.05,-1.0138888888888888
4909573989321693440,19.191,21.82083333333334,-58.0463888888889
2533226244381309440,19.029,16.42083333333333,-0.553888888888889
4909573989321693440,19.191,21.82083333333334,-58.0463888888889
