NAME,RA,DEC
55.16929626464844,335.4966732605591,-25.314320109143164
54.96770095825195,9.956666883831886,-4.969793064870881
71.51940155029297,323.68647594148473,-14.837085522561813
7.6906890869140625,343.78623421149734,-9.945752448663816
55.16929626464844,335.4966622695888,-25.31430993356545
93.58368682861328,335.8746626837402,-25.45173731301689
99.93846130371094,349.62040032692863,-39.933821149419835
29.543807983398438,345.4806357196939,-15.074568537551007
44.60647201538086,315.3928863087872,-1.0306267629700412
59.66462326049805,338.0524542784171,-6.4781461886445575
48.44678497314453,341.6913934906994,-57.74255638882106
58.97578048706055,8.856712649123349,-40.793873748514066
88.38646697998047,358.16815455131353,-50.93979814917597
49.58808135986328,352.1224606015448,-13.939999087988248
79.69371795654297,336.4426176018019,-46.09340646710009
73.77188873291016,348.9289886820574,-61.20163612169892
75.069580078125,2.2871735219059253,-48.376985527473025
62.508235931396484,335.05724146319267,-0.15060162687623602
74.2639389038086,340.24787604567297,-2.7495019657670547
5.531149864196777,5.322466043708343,-3.849824546121466
2.6409289836883545,312.8194721498684,-13.060833512067894
63.3776969909668,315.3468249417594,-55.198541854116584
69.88490295410156,9.057387462951233,-41.27129284219786
17.176551818847656,321.74551344871026,-7.241189237530695
81.46068572998047,336.6893528863696,-47.029747019365466
22.770944595336914,11.773698143462132,-22.080044326764344
73.77188873291016,348.9289867012003,-61.20163512867782
36.193180084228516,340.33281553936433,-7.527334060327856
29.543807983398438,345.48063506276543,-15.07457595142968
88.6760025024414,329.9401548780678,-48.46419513969118
42.233482360839844,342.56670651398525,-8.533351083070386
78.11176300048828,330.2813895978127,-34.95422723785808
75.069580078125,2.2872216483870638,-48.3769960386673
75.24632263183594,339.05466548963136,-12.893929737840425
20.166820526123047,338.639358857998,-11.79013710726734
50.55267333984375,345.6981308420517,-8.328433996915459
54.96770095825195,9.956662476653063,-4.969792228035096
34.36787033081055,17.41700713944725,-57.53190038983312
42.931522369384766,335.8933494559983,-7.425399691482683
30.720170974731445,336.40293792249406,-8.72835365911459
32.7342643737793,339.4686594817613,-42.52274727878287
75.85271453857422,355.0351697689216,-0.46448672613345116
98.81544494628906,316.510295594979,-34.85921179250475
14.058995246887207,350.2335498761122,-42.162009503103604
49.997310638427734,353.06780336306224,-4.945848391382526
39.0115852355957,359.1694874969186,-7.962756172613887
30.443498611450195,357.56182010448845,-4.369722379469472
13.443467140197754,328.35929808750825,-13.947691114144305
86.99107360839844,344.6153371325827,-13.84503416445641
58.97578048706055,8.856716214599466,-40.79387498428476
70.22689819335938,323.02945827771936,-40.589067471070045
99.02857208251953,315.09150939250117,-8.885044531952037
51.57928466796875,353.0801832744002,-5.981184192338315
20.595979690551758,331.1840054451612,-0.4437904685039387
61.6807746887207,359.24673281092373,-12.849459081449167
88.38646697998047,358.1681382257784,-50.93979027918532
55.27265167236328,354.0654456215638,-10.124729830681485
45.01692199707031,327.96498486265835,-19.98104024944039
67.06869506835938,350.7997821610037,-40.7461122813498
73.06788635253906,9.507075520540804,-46.38999024593536
11.968512535095215,320.2472713705886,-7.643401465589543
28.10947608947754,336.25246138601625,-12.133401467365227
69.45723724365234,12.537150860722551,-2.0995358672617215
55.27265167236328,354.0654296090436,-10.124707914375232
89.50004577636719,12.62704535731268,-18.94758490740817
89.50004577636719,12.627031080338893,-18.947572295129323
75.24225616455078,356.8349537983465,-8.639568151599843
3.7682271003723145,330.8738042907972,-22.35494646814685
51.57928466796875,353.0802153787867,-5.981199539701724
75.24225616455078,356.8349417982132,-8.63957691832503
42.511390686035156,328.0257245834331,-56.05558336638856
60.24686050415039,334.5179704848961,-10.598889117618496
74.44742584228516,1.7633334389050963,-4.475712545939237
